
=== TTFB ===
Experiment,N,Mean,SD,CI_95_Lower,CI_95_Upper
Baseline (Unoptimized),30,330.31,14.01,325.30,335.33
Optimized (ISR + Edge),30,203.88,9.18,200.60,207.17
AI-Enhanced (with Prefetching),30,192.46,6.88,190.00,194.92
k6 Ramp Test,10,165.97,6.19,161.54,170.40
k6 Spike Test,10,275.52,12.59,266.52,284.53

=== LCP ===
Experiment,N,Mean,SD,CI_95_Lower,CI_95_Upper
Baseline (Unoptimized),30,3.44,0.15,3.39,3.50
Optimized (ISR + Edge),30,2.56,0.09,2.53,2.59
AI-Enhanced (with Prefetching),30,2.36,0.09,2.32,2.39

=== FID ===
Experiment,N,Mean,SD,CI_95_Lower,CI_95_Upper
Baseline (Unoptimized),30,193.49,8.11,190.59,196.39
Optimized (ISR + Edge),30,72.99,5.24,71.11,74.86
AI-Enhanced (with Prefetching),30,61.92,3.11,60.81,63.03

=== CLS ===
Experiment,N,Mean,SD,CI_95_Lower,CI_95_Upper
Baseline (Unoptimized),30,0.25,0.03,0.24,0.26
Optimized (ISR + Edge),30,0.07,0.01,0.06,0.07
AI-Enhanced (with Prefetching),30,0.05,0.01,0.05,0.05

=== Response Time ===
Experiment,N,Mean,SD,CI_95_Lower,CI_95_Upper
k6 Ramp Test,10,219.83,13.45,210.21,229.45
k6 Spike Test,10,454.41,35.54,428.98,479.83
Artillery Spike Test,10,240.65,12.78,231.51,249.79

=== Error Rate ===
Experiment,N,Mean,SD,CI_95_Lower,CI_95_Upper
k6 Ramp Test,10,0.22,0.14,0.11,0.32
k6 Spike Test,10,1.85,0.61,1.42,2.28
Artillery Spike Test,9,0.64,0.19,0.49,0.79

=== Throughput ===
Experiment,N,Mean,SD,CI_95_Lower,CI_95_Upper
k6 Ramp Test,10,90.88,4.76,87.47,94.29
k6 Spike Test,10,471.81,11.18,463.81,479.80
